title,source,scraped_date
Valve releases Steam Controller CAD files under Creative Commons license,Hacker News,2026-05-07 16:04:54
"Agent-harness-kit scaffolding for multi-agent workflows (MCP, provider-agnostic)",Hacker News,2026-05-07 16:04:54
Indian matchbox labels as a visual archive,Hacker News,2026-05-07 16:04:54
Boris Cherny: TI-83 Plus Basic Programming Tutorial (2004),Hacker News,2026-05-07 16:04:54
Appearing productive in the workplace,Hacker News,2026-05-07 16:04:54
SQLite Is a Library of Congress Recommended Storage Format,Hacker News,2026-05-07 16:04:54
Grand Theft Oil Futures: Insider traders keep making a killing at our expense,Hacker News,2026-05-07 16:04:54
GovernGPT (YC W24) Is Hiring Engineers to Build Thinking Systems in Montreal,Hacker News,2026-05-07 16:04:54
ZAYA1-8B: An 8B Moe Model with 760M Active Params Matching DeepSeek-R1 on Math,Hacker News,2026-05-07 16:04:54
Permacomputing Principles,Hacker News,2026-05-07 16:04:54
"Diskless Linux boot using ZFS, iSCSI and PXE",Hacker News,2026-05-07 16:04:54
"LinkedIn profile visitor lists belong to the people, says Noyb",Hacker News,2026-05-07 16:04:54
RaTeX: KaTeX-compatible LaTeX rendering engine in pure Rust,Hacker News,2026-05-07 16:04:54
SingleRide: Longest route on NYC Subway without visiting the same station twice,Hacker News,2026-05-07 16:04:54
"Photoshop's challenges with focus, pt. 2",Hacker News,2026-05-07 16:04:54
Chevrolet Performance eCrate package (400v/200hp),Hacker News,2026-05-07 16:04:54
"The brave souls who bought a used, 340k-mile rental camper van",Hacker News,2026-05-07 16:04:54
Vibe coding and agentic engineering are getting closer than I'd like,Hacker News,2026-05-07 16:04:54
RSS feeds send me more traffic than Google,Hacker News,2026-05-07 16:04:54
ProgramBench: Can Language Models Rebuild Programs from Scratch?,Hacker News,2026-05-07 16:04:54
"Google Cloud fraud defense, the next evolution of reCAPTCHA",Hacker News,2026-05-07 16:04:54
Show HN: Trust – Coding Rust like it's 1989,Hacker News,2026-05-07 16:04:54
Making LLM Training Faster with Unsloth and NVIDIA,Hacker News,2026-05-07 16:04:54
Show HN: Agent-skills-eval – Test whether Agent Skills improve outputs,Hacker News,2026-05-07 16:04:54
From Supabase to Clerk to Better Auth,Hacker News,2026-05-07 16:04:54
Pen pal programs endure in a digital age,Hacker News,2026-05-07 16:04:54
Community firmware for the Xteink X4 e-paper reader,Hacker News,2026-05-07 16:04:54
Show HN: Hallucinopedia,Hacker News,2026-05-07 16:04:54
The Old Guard: Confronting America's Gerontocratic Crisis,Hacker News,2026-05-07 16:04:54
"Show HN: Tilde.run – Agent sandbox with a transactional, versioned filesystem",Hacker News,2026-05-07 16:04:54
